guard,coreLen,coreTh,exitTh,tp,sl,maxBars,trainN,trainExp,trainPF,trainWin,testN,testExp,testPF,testWin,testDD,robust
none,2,5,60,0,2,0,549,-0.337,0.830,22.2,280,-0.035,0.976,30.3,-23.2,2
none,2,5,60,0,2,24,549,-0.337,0.830,22.2,280,-0.035,0.976,30.3,-23.2,2
none,2,5,60,0,2,48,549,-0.337,0.830,22.2,280,-0.035,0.976,30.3,-23.2,2
none,2,5,60,0,3,0,524,-0.265,0.888,29.8,262,0.176,1.100,41.3,-25.5,3
none,2,5,60,0,3,24,524,-0.265,0.888,29.8,262,0.176,1.100,41.3,-25.5,3
none,2,5,60,0,3,48,524,-0.265,0.888,29.8,262,0.176,1.100,41.3,-25.5,3
none,2,5,60,0,5,0,481,-0.565,0.829,39.3,227,0.362,1.167,54.0,-26.5,4
none,2,5,60,0,5,24,481,-0.565,0.829,39.3,227,0.362,1.167,54.0,-26.5,4
none,2,5,60,0,5,48,481,-0.565,0.829,39.3,227,0.362,1.167,54.0,-26.5,4
none,2,5,60,2,2,0,549,-0.226,0.885,27.5,280,-0.086,0.938,33.8,-21.5,2
none,2,5,60,2,2,24,549,-0.226,0.885,27.5,280,-0.086,0.938,33.8,-21.5,2
none,2,5,60,2,2,48,549,-0.226,0.885,27.5,280,-0.086,0.938,33.8,-21.5,2
none,2,5,60,2,3,0,525,-0.176,0.919,36.1,263,0.091,1.053,45.0,-23.9,3
none,2,5,60,2,3,24,525,-0.176,0.919,36.1,263,0.091,1.053,45.0,-23.9,3
none,2,5,60,2,3,48,525,-0.176,0.919,36.1,263,0.091,1.053,45.0,-23.9,3
none,2,5,60,2,5,0,483,-0.279,0.916,47.2,229,0.400,1.201,58.8,-25.8,4
none,2,5,60,2,5,24,483,-0.279,0.916,47.2,229,0.400,1.201,58.8,-25.8,4
none,2,5,60,2,5,48,483,-0.279,0.916,47.2,229,0.400,1.201,58.8,-25.8,4
none,2,5,60,3,2,0,549,-0.236,0.885,25.6,280,-0.144,0.899,31.7,-22.3,1
none,2,5,60,3,2,24,549,-0.236,0.885,25.6,280,-0.144,0.899,31.7,-22.3,1
none,2,5,60,3,2,48,549,-0.236,0.885,25.6,280,-0.144,0.899,31.7,-22.3,1
none,2,5,60,3,3,0,525,-0.129,0.946,34.6,262,0.002,1.001,42.5,-24.9,2
none,2,5,60,3,3,24,525,-0.129,0.946,34.6,262,0.002,1.001,42.5,-24.9,2
none,2,5,60,3,3,48,525,-0.129,0.946,34.6,262,0.002,1.001,42.5,-24.9,2
none,2,5,60,3,5,0,482,-0.273,0.922,45.3,228,0.279,1.131,56.5,-25.6,3
none,2,5,60,3,5,24,482,-0.273,0.922,45.3,228,0.279,1.131,56.5,-25.6,3
none,2,5,60,3,5,48,482,-0.273,0.922,45.3,228,0.279,1.131,56.5,-25.6,3
none,2,5,70,0,2,0,548,-0.275,0.861,19.6,279,-0.119,0.928,25.6,-24.9,2
none,2,5,70,0,2,24,548,-0.275,0.861,19.6,279,-0.119,0.928,25.6,-24.9,2
none,2,5,70,0,2,48,548,-0.275,0.861,19.6,279,-0.119,0.928,25.6,-24.9,2
none,2,5,70,0,3,0,521,-0.177,0.923,27.1,261,0.022,1.014,34.9,-27.2,3
none,2,5,70,0,3,24,521,-0.177,0.923,27.1,261,0.022,1.014,34.9,-27.2,3
none,2,5,70,0,3,48,521,-0.177,0.923,27.1,261,0.022,1.014,34.9,-27.2,3
none,2,5,70,0,5,0,478,-0.543,0.839,35.6,225,0.121,1.050,47.3,-31.0,3
none,2,5,70,0,5,24,478,-0.543,0.839,35.6,225,0.121,1.050,47.3,-31.0,3
none,2,5,70,0,5,48,478,-0.543,0.839,35.6,225,0.121,1.050,47.3,-31.0,3
none,2,5,70,2,2,0,549,-0.205,0.900,27.5,280,-0.058,0.956,33.4,-20.6,3
none,2,5,70,2,2,24,549,-0.205,0.900,27.5,280,-0.058,0.956,33.4,-20.6,3
none,2,5,70,2,2,48,549,-0.205,0.900,27.5,280,-0.058,0.956,33.4,-20.6,3
none,2,5,70,2,3,0,525,-0.152,0.932,36.3,263,0.116,1.063,44.2,-23.7,3
none,2,5,70,2,3,24,525,-0.152,0.932,36.3,263,0.116,1.063,44.2,-23.7,3
none,2,5,70,2,3,48,525,-0.152,0.932,36.3,263,0.116,1.063,44.2,-23.7,3
none,2,5,70,2,5,0,483,-0.246,0.928,47.4,229,0.445,1.218,58.1,-24.6,5
none,2,5,70,2,5,24,483,-0.246,0.928,47.4,229,0.445,1.218,58.1,-24.6,5
none,2,5,70,2,5,48,483,-0.246,0.928,47.4,229,0.445,1.218,58.1,-24.6,5
none,2,5,70,3,2,0,549,-0.241,0.885,24.9,280,-0.091,0.935,30.5,-21.9,2
none,2,5,70,3,2,24,549,-0.241,0.885,24.9,280,-0.091,0.935,30.5,-21.9,2
none,2,5,70,3,2,48,549,-0.241,0.885,24.9,280,-0.091,0.935,30.5,-21.9,2
none,2,5,70,3,3,0,525,-0.139,0.943,34.0,262,0.013,1.008,40.1,-24.6,2
none,2,5,70,3,3,24,525,-0.139,0.943,34.0,262,0.013,1.008,40.1,-24.6,2
none,2,5,70,3,3,48,525,-0.139,0.943,34.0,262,0.013,1.008,40.1,-24.6,2
none,2,5,70,3,5,0,482,-0.267,0.923,44.7,228,0.296,1.133,54.5,-25.1,3
