guard,coreLen,coreTh,exitTh,tp,sl,maxBars,trainN,trainExp,trainPF,trainWin,testN,testExp,testPF,testWin,testDD,robust
none,2,5,60,0,2,0,3510,-0.111,0.811,55.9,1650,-0.199,0.642,51.9,-54.9,0
none,2,5,60,0,2,24,3510,-0.111,0.811,55.9,1650,-0.199,0.642,51.9,-54.9,0
none,2,5,60,0,2,48,3510,-0.111,0.811,55.9,1650,-0.199,0.642,51.9,-54.9,0
none,2,5,60,0,3,0,3247,-0.092,0.844,57.9,1520,-0.208,0.633,52.9,-55.0,0
none,2,5,60,0,3,24,3247,-0.092,0.844,57.9,1520,-0.208,0.633,52.9,-55.0,0
none,2,5,60,0,3,48,3247,-0.092,0.844,57.9,1520,-0.208,0.633,52.9,-55.0,0
none,2,5,60,0,5,0,3026,-0.076,0.868,58.4,1429,-0.229,0.598,52.8,-55.4,0
none,2,5,60,0,5,24,3026,-0.076,0.868,58.4,1429,-0.229,0.598,52.8,-55.4,0
none,2,5,60,0,5,48,3026,-0.076,0.868,58.4,1429,-0.229,0.598,52.8,-55.4,0
none,2,5,60,2,2,0,3510,-0.108,0.815,56.1,1650,-0.200,0.640,52.0,-54.8,0
none,2,5,60,2,2,24,3510,-0.108,0.815,56.1,1650,-0.200,0.640,52.0,-54.8,0
none,2,5,60,2,2,48,3510,-0.108,0.815,56.1,1650,-0.200,0.640,52.0,-54.8,0
none,2,5,60,2,3,0,3247,-0.095,0.837,58.0,1520,-0.211,0.628,53.0,-55.0,0
none,2,5,60,2,3,24,3247,-0.095,0.837,58.0,1520,-0.211,0.628,53.0,-55.0,0
none,2,5,60,2,3,48,3247,-0.095,0.837,58.0,1520,-0.211,0.628,53.0,-55.0,0
none,2,5,60,2,5,0,3027,-0.077,0.864,58.5,1429,-0.232,0.593,52.9,-55.3,0
none,2,5,60,2,5,24,3027,-0.077,0.864,58.5,1429,-0.232,0.593,52.9,-55.3,0
none,2,5,60,2,5,48,3027,-0.077,0.864,58.5,1429,-0.232,0.593,52.9,-55.3,0
none,2,5,60,3,2,0,3510,-0.112,0.810,56.0,1650,-0.200,0.640,51.9,-54.9,0
none,2,5,60,3,2,24,3510,-0.112,0.810,56.0,1650,-0.200,0.640,51.9,-54.9,0
none,2,5,60,3,2,48,3510,-0.112,0.810,56.0,1650,-0.200,0.640,51.9,-54.9,0
none,2,5,60,3,3,0,3247,-0.094,0.840,57.9,1520,-0.209,0.632,52.9,-55.0,0
none,2,5,60,3,3,24,3247,-0.094,0.840,57.9,1520,-0.209,0.632,52.9,-55.0,0
none,2,5,60,3,3,48,3247,-0.094,0.840,57.9,1520,-0.209,0.632,52.9,-55.0,0
none,2,5,60,3,5,0,3026,-0.077,0.865,58.4,1429,-0.230,0.596,52.8,-55.4,0
none,2,5,60,3,5,24,3026,-0.077,0.865,58.4,1429,-0.230,0.596,52.8,-55.4,0
none,2,5,60,3,5,48,3026,-0.077,0.865,58.4,1429,-0.230,0.596,52.8,-55.4,0
none,2,5,70,0,2,0,3466,-0.117,0.824,55.5,1629,-0.199,0.674,53.2,-54.8,0
none,2,5,70,0,2,24,3466,-0.117,0.824,55.5,1629,-0.199,0.674,53.2,-54.8,0
none,2,5,70,0,2,48,3466,-0.117,0.824,55.5,1629,-0.199,0.674,53.2,-54.8,0
none,2,5,70,0,3,0,3176,-0.101,0.849,58.4,1483,-0.197,0.680,54.6,-52.5,0
none,2,5,70,0,3,24,3176,-0.101,0.849,58.4,1483,-0.197,0.680,54.6,-52.5,0
none,2,5,70,0,3,48,3176,-0.101,0.849,58.4,1483,-0.197,0.680,54.6,-52.5,0
none,2,5,70,0,5,0,2933,-0.074,0.887,59.4,1390,-0.221,0.648,55.0,-54.0,0
none,2,5,70,0,5,24,2933,-0.074,0.887,59.4,1390,-0.221,0.648,55.0,-54.1,0
none,2,5,70,0,5,48,2933,-0.074,0.887,59.4,1390,-0.221,0.648,55.0,-54.0,0
none,2,5,70,2,2,0,3466,-0.116,0.822,56.0,1629,-0.200,0.670,53.4,-54.3,0
none,2,5,70,2,2,24,3466,-0.116,0.822,56.0,1629,-0.200,0.670,53.4,-54.3,0
none,2,5,70,2,2,48,3466,-0.116,0.822,56.0,1629,-0.200,0.670,53.4,-54.3,0
none,2,5,70,2,3,0,3176,-0.105,0.840,58.8,1483,-0.197,0.677,54.8,-52.1,0
none,2,5,70,2,3,24,3176,-0.105,0.840,58.8,1483,-0.197,0.677,54.8,-52.1,0
none,2,5,70,2,3,48,3176,-0.105,0.840,58.8,1483,-0.197,0.677,54.8,-52.1,0
none,2,5,70,2,5,0,2934,-0.079,0.877,59.8,1390,-0.225,0.640,55.2,-53.9,0
none,2,5,70,2,5,24,2934,-0.079,0.877,59.8,1390,-0.225,0.640,55.2,-54.0,0
none,2,5,70,2,5,48,2934,-0.079,0.877,59.8,1390,-0.225,0.640,55.2,-53.9,0
none,2,5,70,3,2,0,3466,-0.121,0.816,55.7,1629,-0.198,0.674,53.3,-54.6,0
none,2,5,70,3,2,24,3466,-0.121,0.816,55.7,1629,-0.198,0.674,53.3,-54.6,0
none,2,5,70,3,2,48,3466,-0.121,0.816,55.7,1629,-0.198,0.674,53.3,-54.6,0
